t,Core,CPU,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,POLL%,C1%,C1E%,C3%,C6%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,CoreThr,PkgTmp,Pkg%pc2,Pkg%pc3,Pkg%pc6,PkgWatt,CorWatt,GFXWatt
1737230251972,2,2,44,2.23,2001,2993,0.92,102,0,0,1,8,8,94,0.00,0.00,0.23,0.22,97.33,0.57,0.20,97.01,0.00,26,0
1737230251972,3,3,61,2.92,2082,2993,0.91,103,0,0,0,8,6,101,0.00,0.00,0.09,0.17,96.81,0.45,0.16,96.47,0.00,26,0
1737230252974,-,-,16,0.89,1843,2993,0.60,259,0,0,1,20,13,298,0.00,0.00,0.06,0.10,98.96,0.32,0.14,98.66,0.00,33,0,27,0.64,0.18,95.24,4.32,0.31,0.00
1737230252975,0,0,28,1.53,1848,2993,0.55,104,0,0,0,8,4,107,0.00,0.00,0.08,0.15,98.25,0.41,0.14,97.91,0.00,26,0,27,0.64,0.18,95.24,4.32,0.31,0.00
1737230252975,1,1,14,0.75,1844,2993,0.67,62,0,0,0,0,1,79,0.00,0.00,0.00,0.02,99.24,0.26,0.02,98.97,0.00,26,0
1737230252975,2,2,7,0.40,1837,2993,0.58,39,0,0,0,4,2,44,0.00,0.00,0.06,0.05,99.50,0.21,0.04,99.35,0.00,30,0
1737230252975,3,3,16,0.87,1835,2993,0.64,54,0,0,1,8,6,68,0.00,0.00,0.12,0.17,98.82,0.38,0.35,98.40,0.00,33,0
1737230253977,-,-,5,0.32,1617,2993,0.42,115,0,0,0,3,0,144,0.00,0.00,0.01,0.00,99.68,0.11,0.00,99.57,0.00,26,0,27,0.48,0.00,97.82,4.20,0.19,0.00
1737230253977,0,0,10,0.61,1605,2993,0.34,68,0,0,0,1,0,75,0.00,0.00,0.01,0.00,99.40,0.20,0.00,99.19,0.00,26,0,27,0.48,0.00,97.81,4.20,0.19,0.00
1737230253977,1,1,2,0.15,1622,2993,0.57,6,0,0,0,0,0,13,0.00,0.00,0.00,0.00,99.86,0.05,0.00,99.81,0.00,26,0
1737230253977,2,2,3,0.19,1621,2993,0.38,20,0,0,0,2,0,26,0.00,0.00,0.02,0.00,99.80,0.09,0.00,99.72,0.00,26,0
1737230253977,3,3,6,0.34,1635,2993,0.54,21,0,0,0,0,0,30,0.00,0.00,0.00,0.00,99.67,0.09,0.00,99.57,0.00,26,0
1737230254980,-,-,6,0.35,1614,2993,0.43,119,0,0,0,3,0,182,0.00,0.00,0.01,0.00,99.66,0.13,0.00,99.52,0.00,33,0,27,0.45,0.00,97.74,4.20,0.19,0.00
1737230254980,0,0,6,0.37,1600,2993,0.32,52,0,0,0,1,0,65,0.00,0.00,0.02,0.00,99.63,0.18,0.00,99.45,0.00,27,0,27,0.45,0.00,97.75,4.20,0.19,0.00
1737230254980,1,1,3,0.17,1715,2993,0.55,7,0,0,0,0,0,16,0.00,0.00,0.00,0.00,99.83,0.05,0.00,99.77,0.00,27,0
1737230254980,2,2,6,0.37,1600,2993,0.42,25,0,0,0,1,0,54,0.00,0.00,0.01,0.00,99.64,0.16,0.00,99.47,0.00,27,0
1737230254980,3,3,8,0.48,1600,2993,0.49,35,0,0,0,1,0,47,0.00,0.00,0.01,0.00,99.53,0.14,0.00,99.38,0.00,33,0
1737230255982,-,-,5,0.32,1605,2993,0.43,131,0,0,1,7,3,183,0.00,0.00,0.05,0.02,99.62,0.18,0.02,99.48,0.00,33,0,26,0.49,0.05,97.53,4.20,0.19,0.00
1737230255982,0,0,5,0.33,1608,2993,0.32,67,0,0,1,2,1,69,0.00,0.00,0.01,0.02,99.65,0.18,0.02,99.46,0.00,26,0,26,0.49,0.05,97.52,4.20,0.19,0.00
1737230255982,1,1,3,0.20,1617,2993,0.49,13,0,0,0,0,1,24,0.00,0.00,0.00,0.03,99.78,0.08,0.03,99.70,0.00,26,0
1737230255982,2,2,4,0.27,1600,2993,0.42,16,0,0,0,0,1,41,0.00,0.00,0.00,0.03,99.72,0.12,0.03,99.58,0.00,28,0
1737230255982,3,3,8,0.48,1600,2993,0.50,35,0,0,0,5,0,49,0.00,0.00,0.20,0.00,99.33,0.34,0.00,99.18,0.00,33,0
1737230256985,-,-,5,0.32,1603,2993,0.44,110,0,0,0,1,3,171,0.00,0.00,0.00,0.02,99.67,0.12,0.02,99.55,0.00,26,0,27,0.45,0.04,97.77,4.20,0.19,0.00
1737230256985,0,0,6,0.35,1600,2993,0.31,60,0,0,0,1,1,73,0.00,0.00,0.01,0.02,99.64,0.20,0.02,99.44,0.00,26,0,27,0.45,0.04,97.77,4.20,0.19,0.00
1737230256985,1,1,3,0.21,1615,2993,0.51,15,0,0,0,0,1,21,0.00,0.00,0.00,0.02,99.77,0.07,0.02,99.70,0.00,26,0
1737230256985,2,2,4,0.26,1600,2993,0.42,11,0,0,0,0,1,40,0.00,0.00,0.00,0.03,99.72,0.11,0.03,99.60,0.00,26,0
1737230256985,3,3,7,0.44,1600,2993,0.52,24,0,0,0,0,0,37,0.00,0.00,0.00,0.00,99.57,0.10,0.00,99.45,0.00,26,0
